occupants,plug_loads_other,plug_loads_tv,lighting_interior,lighting_garage,hot_water_clothes_washer,clothes_washer,clothes_dryer,cooking_range,hot_water_fixtures,Vacancy,Power Outage,No Space Heating,No Space Cooling
0.6,0.739,0.164,0.317,0.317,0.0,0.0,0.0,0.0,0.0,0,0,0,0
0.6,0.739,0.164,0.317,0.317,0.0,0.0,0.0,0.0,0.0,0,0,0,0
0.6,0.755,0.182,0.351,0.351,0.0,0.0,0.0,0.0,0.367,0,0,0,0
0.507,0.741,0.174,0.337,0.337,0.0,0.0,0.0,0.0,0.168,0,0,0,0
0.4,0.703,0.14,0.276,0.276,0.0,0.0,0.0,0.0,0.0841,0,0,0,0
0.4,0.703,0.14,0.276,0.276,0.0,0.0,0.0,0.0,0.13,0,0,0,0
0.4,0.714,0.154,0.314,0.314,0.0,0.0,0.0,0.467,0.0841,0,0,0,0
0.4,0.726,0.17,0.356,0.356,0.0,0.0,0.0,1.0,0.0,0,0,0,0
0.4,0.726,0.17,0.356,0.356,0.0,0.0,0.0,1.0,0.0841,0,0,0,0
0.493,0.765,0.206,0.428,0.428,0.0,0.0,0.0,1.0,0.0,0,0,0,0
0.693,0.854,0.336,0.645,0.645,0.0,0.0,0.0,1.0,0.381,0,0,0,0
0.893,0.947,0.485,0.886,0.886,0.0,0.0,0.0,1.0,0.323,0,0,0,0
1.0,0.993,0.541,0.986,0.986,0.0,0.0,0.0,1.0,0.0841,0,0,0,0
1.0,0.993,0.541,0.986,0.986,0.0,0.0,0.0,1.0,0.121,0,0,0,0
1.0,0.984,0.642,0.982,0.982,0.0,0.0,0.0,1.0,0.0733,0,0,0,0
0.907,0.935,0.688,0.891,0.891,0.0,0.0,0.0,1.0,0.252,0,0,0,0
0.8,0.891,0.609,0.792,0.792,0.0,0.0,0.0,0.867,0.294,0,0,0,0
0.8,0.891,0.609,0.792,0.792,0.0,0.0,0.0,0.0,0.0841,0,0,0,0
0.8,0.876,0.676,0.725,0.725,0.0,0.0,0.0,0.0,0.0,0,0,0,0
0.893,0.895,0.837,0.718,0.718,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.934,0.936,0.798,0.798,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.934,0.936,0.798,0.798,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.871,0.831,0.655,0.655,0.0,0.0,0.0,0.0,0.123,0,0,0,0
1.0,0.798,0.712,0.491,0.491,0.0,0.0,0.0,0.0,0.0176,0,0,0,0
1.0,0.798,0.712,0.491,0.491,0.0,0.0,0.0,0.0,0.0841,0,0,0,0
1.0,0.798,0.712,0.491,0.491,0.0,0.0,0.0,0.0,0.171,0,0,0,0
1.0,0.768,0.582,0.462,0.462,0.397,0.467,0.0,0.0,0.0,0,0,0,0
1.0,0.735,0.432,0.428,0.428,0.408,1.0,0.0,0.0,0.0,0,0,0,0
1.0,0.735,0.432,0.428,0.428,0.178,1.0,0.0,0.0,0.122,0,0,0,0
1.0,0.715,0.383,0.384,0.384,0.293,1.0,0.0,0.0,0.0,0,0,0,0
1.0,0.661,0.223,0.238,0.238,0.217,1.0,0.0,0.0,0.0,0,0,0,0
1.0,0.625,0.102,0.129,0.129,0.293,1.0,0.0,0.0,0.38,0,0,0,0
1.0,0.625,0.102,0.129,0.129,0.0217,0.333,0.667,0.0,0.131,0,0,0,0
1.0,0.61,0.0821,0.11,0.11,0.0,0.0,1.0,0.0,0.131,0,0,0,0
1.0,0.578,0.0389,0.0706,0.0706,0.0,0.0,1.0,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.0493,0.0493,0.0,0.0,0.6,0.0,0.0,0,0,0,0
1.0,0.562,0.0159,0.0493,0.0493,0.0,0.0,0.0,0.0,0.0,0,0,0,0
