Time,Total Electric Power (kW),Total Reactive Power (kVAR),Total Gas Power (therms/hour),Other Electric Power (kW),HVAC Heating Electric Power (kW),Lighting Electric Power (kW),Water Heating Electric Power (kW),HVAC Cooling Electric Power (kW),HVAC Heating Gas Power (therms/hour),Water Heating Gas Power (therms/hour),Hot Water Unmet Demand (kW),Hot Water Outlet Temperature (C),Temperature - Indoor (C),Unmet HVAC Load (C)
2025-01-21 15:00:00,0.4381165044541278,0.12805694615029084,0.07124127596492642,0.25244874689914765,0.04802328125,0.08103047630498007,0.006614,0.05,0.04746702702702702,0.0237742489378994,0.0,51.66666666666668,17.99033412357686,-0.056865137476560315
2025-01-21 16:00:00,0.5640260250933409,0.14440781255441237,0.07185050509146693,0.3217999361977656,0.056027161458333335,0.12958492743724195,0.006614,0.05,0.0553781981981982,0.016472306893268736,0.0,51.66666666666668,17.938990764288558,-0.07670298194107979
2025-01-21 17:00:00,0.47952636397622644,0.13438825087816664,0.10036697280242562,0.2457997571534681,0.08003880208333335,0.09707380473942497,0.006614,0.05,0.0791117117117117,0.021255261090713906,0.0,51.66666666666668,18.108514166254476,-0.040189314520264516
2025-01-21 18:00:00,0.3521985376246465,0.126556666367876,0.043302510012309864,0.20205126580216434,0.024011640625,0.06952163119748213,0.006614,0.05,0.02373351351351351,0.019568996498796346,0.0,51.66666666666668,16.621356012698744,-0.030104514036108802
2025-01-21 19:00:00,0.5095885819728486,0.13228520851872083,0.0791117117117117,0.2634251314896654,0.08003880208333335,0.10951064839984989,0.006614,0.05,0.0791117117117117,0.0,0.0,51.66666666666668,16.376671997156595,-0.06045325127792829
2025-01-21 20:00:00,0.592770557698149,0.1349897548579828,0.09493405405405404,0.3216283132595172,0.0960465625,0.11848168193863182,0.006614,0.05,0.09493405405405404,0.0,0.0,51.66666666666668,16.42695710649979,-0.05683913460848344
2025-01-21 21:00:00,0.6070490245150114,0.1340738738442748,0.09493405405405404,0.34347032876345296,0.0960465625,0.11091813325155847,0.006614,0.05,0.09493405405405404,0.0,0.0,51.66666666666668,16.417356359681836,-0.05221537741779209
2025-01-21 22:00:00,0.4910623613280815,0.12175352080898989,0.11866756756756756,0.24447127589202194,0.12005820312500001,0.06991888231105955,0.006614,0.05,0.11866756756756756,0.0,0.0,51.66666666666668,16.35967402679336,-0.06188019225785467
2025-01-21 23:00:00,0.3311566824617232,0.10747907597495408,0.11866756756756756,0.1356986708320706,0.12005820312500001,0.01878580850465252,0.006614,0.05,0.11866756756756756,0.0,0.0,51.66666666666668,16.393991166570107,-0.0569268242035772
2025-01-22 00:00:00,0.3328820395684598,0.10573795049108381,0.13448990990990992,0.12627313814724914,0.1360659635416667,0.013928937879543897,0.006614,0.05,0.13448990990990992,0.0,0.0,51.66666666666668,16.385770687117006,-0.05628979319584086
2025-01-22 01:00:00,0.33139695705126754,0.10495517342417617,0.13448990990990992,0.12502300560264465,0.1360659635416667,0.013693987906956178,0.006614,0.05,0.13448990990990992,0.0,0.0,51.66666666666668,16.37711998833605,-0.06064107074409944
2025-01-22 02:00:00,0.3223493740870573,0.10417239635726853,0.12657873873873873,0.12397930284676781,0.12806208333333335,0.013693987906956178,0.006614,0.05,0.12657873873873873,0.0,0.0,51.66666666666668,16.3961651061805,-0.05628898233455472
2025-01-22 03:00:00,0.4091917203077887,0.10338961929036089,0.2136016216216216,0.12293560009089097,0.21610476562500003,0.013537354591897699,0.006614,0.05,0.2136016216216216,0.0,0.0,51.66666666666668,18.010270443994717,-0.08192560660584783
2025-01-22 04:00:00,0.33611309567691183,0.10260684222345326,0.14240108108108107,0.12189189733501411,0.14406984375,0.013537354591897699,0.006614,0.05,0.14240108108108107,0.0,0.0,51.66666666666668,18.055622568793716,-0.058169770095031596
2025-01-22 05:00:00,0.3714839788443566,0.10444367668929831,0.18102503729439992,0.12477522433932656,0.17608536458333335,0.014009389921696631,0.006614,0.05,0.17404576576576578,0.006979271528634155,0.0,51.66666666666668,18.059486312078015,-0.062478918219069195
