occupants,plug_loads_other,plug_loads_tv,lighting_interior,cooking_range,hot_water_fixtures,Vacancy,Power Outage,No Space Heating,No Space Cooling
0.75,0.687,0.068,0.259,0.267,0.0786,0,0,0,0
0.75,0.69,0.0711,0.262,0.0,0.0786,0,0,0,0
0.75,0.69,0.0711,0.262,0.0,0.157,0,0,0,0
0.75,0.69,0.0711,0.262,0.0,0.0,0,0,0,0
0.75,0.737,0.104,0.348,0.0,0.0,0,0,0,0
0.75,0.754,0.116,0.379,0.0,0.157,0,0,0,0
0.75,0.754,0.116,0.379,0.0,0.0,0,0,0,0
0.75,0.754,0.116,0.379,0.0,0.335,0,0,0,0
0.75,0.754,0.126,0.371,0.0,0.0,0,0,0,0
0.75,0.754,0.13,0.369,0.0,0.0,0,0,0,0
0.75,0.754,0.13,0.369,0.0,0.0,0,0,0,0
0.567,0.707,0.102,0.291,0.0,0.0786,0,0,0,0
0.5,0.69,0.0983,0.256,0.733,0.157,0,0,0,0
0.5,0.69,0.101,0.253,0.267,0.0,0,0,0,0
0.683,0.737,0.132,0.328,0.0,0.0,0,0,0,0
0.75,0.754,0.143,0.355,0.0,0.0,0,0,0,0
0.75,0.754,0.149,0.348,0.0,0.236,0,0,0,0
0.75,0.754,0.151,0.345,0.0,0.0786,0,0,0,0
0.75,0.754,0.151,0.345,0.0,0.23,0,0,0,0
0.75,0.754,0.151,0.345,0.0,0.257,0,0,0,0
0.75,0.754,0.165,0.343,0.0,0.0786,0,0,0,0
0.567,0.707,0.132,0.271,0.0,0.0,0,0,0,0
0.5,0.69,0.119,0.244,0.0,0.0786,0,0,0,0
0.5,0.69,0.119,0.244,0.0,0.0,0,0,0,0
0.5,0.69,0.123,0.248,0.0,0.0,0,0,0,0
0.5,0.69,0.125,0.249,0.0,0.0,0,0,0,0
0.5,0.69,0.125,0.249,0.0,0.0,0,0,0,0
0.683,0.737,0.165,0.322,0.0,0.0,0,0,0,0
0.75,0.775,0.195,0.374,0.0,0.0,0,0,0,0
0.75,0.783,0.201,0.384,0.0,0.0786,0,0,0,0
0.75,0.783,0.201,0.384,0.0,0.0,0,0,0,0
0.75,0.783,0.201,0.384,0.0,0.314,0,0,0,0
0.75,0.815,0.237,0.45,0.0,0.0786,0,0,0,0
0.75,0.827,0.249,0.475,0.0,0.314,0,0,0,0
0.75,0.827,0.249,0.475,0.0,0.0,0,0,0,0
0.567,0.762,0.192,0.371,0.0,0.157,0,0,0,0
0.683,0.835,0.27,0.547,0.0,0.0849,0,0,0,0
0.75,0.87,0.306,0.625,0.0,0.0,0,0,0,0
0.75,0.87,0.306,0.625,0.733,0.0,0,0,0,0
0.567,0.719,0.164,0.344,1.0,0.0,0,0,0,0
0.5,0.668,0.138,0.272,1.0,0.0,0,0,0,0
0.683,0.748,0.244,0.455,1.0,0.157,0,0,0,0
0.75,0.777,0.279,0.518,0.4,0.0,0,0,0,0
0.75,0.777,0.279,0.518,0.0,0.0786,0,0,0,0
0.75,0.77,0.358,0.514,0.0,0.113,0,0,0,0
0.75,0.767,0.387,0.513,0.0,0.0,0,0,0,0
0.75,0.767,0.387,0.513,0.0,0.0,0,0,0,0
0.933,0.843,0.523,0.683,0.0,0.0,0,0,0,0
1.0,0.849,0.67,0.647,0.0,0.0,0,0,0,0
1.0,0.841,0.706,0.611,0.0,0.0,0,0,0,0
1.0,0.841,0.706,0.611,0.0,0.0,0,0,0,0
1.0,0.841,0.706,0.611,0.0,0.0,0,0,0,0
1.0,0.798,0.679,0.503,0.0,0.0,0,0,0,0
1.0,0.783,0.669,0.464,0.0,0.217,0,0,0,0
1.0,0.783,0.669,0.464,0.0,0.0,0,0,0,0
1.0,0.783,0.669,0.464,0.0,0.0,0,0,0,0
1.0,0.7,0.381,0.333,0.0,0.154,0,0,0,0
1.0,0.67,0.276,0.286,0.0,0.0,0,0,0,0
1.0,0.67,0.276,0.286,0.0,0.146,0,0,0,0
1.0,0.67,0.276,0.286,0.0,0.209,0,0,0,0
1.0,0.62,0.125,0.149,0.0,0.0,0,0,0,0
