occupants,plug_loads_other,plug_loads_tv,ceiling_fan,lighting_interior,hot_water_dishwasher,dishwasher,hot_water_clothes_washer,clothes_washer,clothes_dryer,cooking_range,hot_water_fixtures,electric_vehicle_charging,electric_vehicle_discharging,Vacancy,Power Outage,No Space Heating,No Space Cooling
0.75,0.754,0.0987,0.105,0.369,0.0,0.0,0.0,0.0,0.0,0.0,0.154,1.0,0,0,0,0,0
0.683,0.737,0.0913,0.133,0.34,0.0,0.0,0.0,0.0,0.0,0.0,0.41,1.0,0,0,0,0,0
0.433,0.673,0.0637,0.239,0.234,0.0,0.0,0.0,0.0,0.0,0.0,0.307,0,0.267,0,0,0,0
0.25,0.626,0.045,0.316,0.157,0.0,0.0,0.0,0.0,0.0,0.0,0.308,0,1.0,0,0,0,0
0.25,0.626,0.0493,0.316,0.159,0.0,0.0,0.0,0.0,0.0,0.0,0.217,0,1.0,0,0,0,0
0.25,0.626,0.0493,0.316,0.159,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,0,0,0,0
0.25,0.626,0.0493,0.316,0.159,0.0,0.0,0.0,0.0,0.0,0.0,0.108,0,0.0667,0,0,0,0
0.25,0.626,0.0505,0.316,0.158,0.0,0.0,0.0,0.0,0.0,0.0,0.0269,0,0,0,0,0,0
0.25,0.626,0.0538,0.316,0.156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
0.25,0.626,0.0538,0.316,0.156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
0.25,0.626,0.0538,0.316,0.156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
0.25,0.626,0.055,0.316,0.155,0.0,0.0,0.0,0.0,0.0,0.0,0.077,0,0,0,0,0,0
0.25,0.626,0.0583,0.316,0.151,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
0.25,0.626,0.0583,0.316,0.151,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
0.25,0.626,0.0583,0.316,0.151,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
0.25,0.626,0.059,0.316,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
0.25,0.626,0.0609,0.316,0.148,0.0,0.0,0.0,0.0,0.0,0.0,0.154,0,0,0,0,0,0
0.317,0.643,0.0729,0.288,0.174,0.0,0.0,0.0,0.0,0.0,0.0,0.231,0,0,0,0,0,0
0.5,0.69,0.106,0.211,0.246,0.0,0.0,0.332,0.267,0.0,0.0,0.0,0,0,0,0,0,0
0.5,0.69,0.109,0.211,0.246,0.0,0.0,0.29,0.667,0.333,0.0,0.077,0,0,0,0,0,0
0.5,0.69,0.119,0.211,0.244,0.0,0.0,0.213,0.0,1.0,0.0,0.0,0,0,0,0,0,0
0.5,0.69,0.119,0.211,0.244,0.0,0.0,0.049,0.0,1.0,0.0,0.154,0,0,0,0,0,0
0.5,0.69,0.119,0.211,0.244,0.0,0.0,0.776,0.0,1.0,0.0,0.154,0,0,0,0,0,0
0.433,0.673,0.106,0.239,0.219,0.0,0.0,0.182,0.0,1.0,0.0,0.231,0,0,0,0,0,0
