Time,Total Electric Power (kW),Total Reactive Power (kVAR),Total Gas Power (therms/hour),Other Electric Power (kW),HVAC Heating Electric Power (kW),Lighting Electric Power (kW),Water Heating Electric Power (kW),HVAC Cooling Electric Power (kW),Other Gas Power (therms/hour),Hot Water Unmet Demand (kW),Hot Water Outlet Temperature (C),Temperature - Indoor (C),Unmet HVAC Load (C)
2025-01-21 14:00:00,2.9600577275548927,0.4380937926499449,0.00484922348872078,0.9298540822514869,1.1604052954074076,0.061496387970072355,0.758301961925926,0.05,0.00484922348872078,0.0,51.296267333413525,19.71834999919303,-0.07079464956701169
2025-01-21 15:00:00,2.698885613247039,0.4611105089515975,0.005000761722743305,1.0042599463648656,0.5802026477037038,0.0727973766599514,0.9916256425185186,0.05,0.005000761722743305,0.0,51.30222369475374,19.68761497890905,-0.05250141744078724
2025-01-21 16:00:00,2.553513365120849,0.4915269109231186,0.006819220531013596,1.1322242739225028,1.1604052954074076,0.09422195549464181,0.1166618402962963,0.05,0.006819220531013596,0.0,51.114001062005194,19.722261444361024,-0.05794290572121117
2025-01-21 17:00:00,5.599490287273982,0.48166167714033414,0.00863767933928389,1.001972296983211,3.046063900444445,0.10151200629077001,1.3999420835555556,0.05,0.00863767933928389,0.0,51.26150979651604,20.722084149241972,-0.09872668919226092
2025-01-21 18:00:00,3.534312139253399,0.5581576355778728,0.01000152344548661,1.4334602597099144,1.8856586050370372,0.1651932745064467,0.0,0.05,0.01000152344548661,0.0,51.752035683492984,20.88195293557532,-0.038556714732523055
2025-01-21 19:00:00,5.4378271205956175,0.5438926927793747,0.01151690578571185,1.597161715439919,2.175759928888889,0.15663247256310558,1.4582730037037037,0.05,0.01151690578571185,0.0,51.13670584641493,20.850203875072506,-0.06055943964594661
2025-01-21 20:00:00,3.8863551522851023,0.5051937641719167,0.012274596955824474,1.541174901694354,2.175759928888889,0.11942032170185908,0.0,0.05,0.012274596955824474,0.0,51.51754931755716,20.82325450401928,-0.05644733939652434
2025-01-21 21:00:00,1.598225017921835,0.477188778210505,0.013032288125937094,1.4485319793809828,0.0,0.09969303854085244,0.0,0.05,0.013032288125937094,0.0,51.148638907451534,19.483325561507364,0.0
2025-01-21 22:00:00,2.4135736449886505,0.4216941770176115,0.011365367551689327,0.9567737261138549,0.5802026477037038,0.06829530924516557,0.758301961925926,0.05,0.011365367551689327,0.0,51.09118381748543,17.591034161866297,-0.032239426391546706
2025-01-21 23:00:00,2.863839452670534,0.3722090580386825,0.009849985211464084,0.6105322812235572,2.175759928888889,0.027547242558087364,0.0,0.05,0.009849985211464084,0.0,51.595923346266396,17.50193690445951,-0.060778889733090286
2025-01-22 00:00:00,2.6752739109929875,0.33183517455895223,0.006667682296991071,0.4383539473502409,2.175759928888889,0.01116003475385733,0.0,0.05,0.006667682296991071,0.0,51.243246748444804,17.456369357874134,-0.05758244851504071
2025-01-22 01:00:00,3.3993718209498636,0.33114483728382743,0.0034853793825180605,0.4374334976500745,2.9010132385185186,0.01092508478126961,0.0,0.05,0.0034853793825180605,0.0,50.89404345656593,17.45846281007836,-0.0638633602691634
2025-01-22 02:00:00,2.673198061620067,0.33045450000870263,0.0028792264464279627,0.43651304794990814,2.175759928888889,0.01092508478126961,0.0,0.05,0.0028792264464279627,0.0,50.54875675252553,17.48367274580685,-0.04930236399857358
2025-01-22 03:00:00,3.3973742882344724,0.32976416273357784,0.0022730735103378653,0.4355925982497417,2.9010132385185186,0.01076845146621113,0.0,0.05,0.0022730735103378653,0.0,50.20700713702752,17.46903165362953,-0.060941928501470184
2025-01-22 04:00:00,2.6719543505285666,0.32946035350590047,0.00242461174436039,0.4353323446793425,2.175759928888889,0.010862076960334772,0.0,0.05,0.00242461174436039,0.0,49.863345853509266,17.47226788805807,-0.056068700494033764
2025-01-22 05:00:00,4.979802307131049,0.36051143998417945,0.0027276882124054385,0.4912646084340523,2.9010132385185186,0.020920536326625386,1.516603923851852,0.05,0.0027276882124054385,0.0,50.56931217908944,17.432127871140988,-0.07097654863913251
2025-01-22 06:00:00,5.987048569179935,0.3895932912681635,0.003939994084585633,0.5536710878861428,4.931722505481482,0.043338534775272275,0.40831644103703707,0.05,0.003939994084585633,0.0,51.24822922775185,19.624133951927213,-0.14602438468795262
2025-01-22 07:00:00,5.418532264546893,0.3810530792672616,0.005000761722743305,0.5381083395229662,3.626266548148149,0.03753897391281431,1.1666184029629632,0.05,0.005000761722743305,0.0,51.17607118066238,19.76404487901016,-0.05051684926873013
2025-01-22 08:00:00,4.12599613003465,0.332525511834077,0.005000761722743305,0.4392743970504073,3.626266548148149,0.010455184836094172,0.0,0.05,0.005000761722743305,0.0,51.21322371338989,19.730956180598053,-0.0642761563792177
2025-01-22 09:00:00,3.980475568163549,0.332525511834077,0.00484922348872078,0.4392743970504073,3.481215886222223,0.009985284890918733,0.0,0.05,0.00484922348872078,0.0,50.88414002383592,19.716245693033894,-0.07150428853358318
2025-01-22 10:00:00,3.979476801805853,0.33183517455895223,0.005000761722743305,0.4383539473502409,3.481215886222223,0.009906968233389494,0.0,0.05,0.005000761722743305,0.0,50.5589218691427,19.764179949251194,-0.057915403922981966
2025-01-22 11:00:00,3.979476801805853,0.33183517455895223,0.005000761722743305,0.4383539473502409,3.481215886222223,0.009906968233389494,0.0,0.05,0.005000761722743305,0.0,50.23722697048224,19.757755511871245,-0.06340952403496587
2025-01-22 12:00:00,3.836345355937789,0.3332158491092018,0.00484922348872078,0.4401948467505737,3.3361652242962965,0.009985284890918733,0.0,0.05,0.00484922348872078,0.0,49.91912106648395,19.756638249811147,-0.05758066988357301
2025-01-22 13:00:00,3.2563776582066737,0.3332158491092018,0.00484922348872078,0.4401948467505737,2.755962576592593,0.010220234863506454,0.0,0.05,0.00484922348872078,0.0,49.604602461504236,19.80392198400131,-0.05227915260786205
