Time,Total Electric Power (kW),Total Reactive Power (kVAR),Total Gas Power (therms/hour),Other Electric Power (kW),HVAC Heating Electric Power (kW),Lighting Electric Power (kW),Water Heating Electric Power (kW),HVAC Cooling Electric Power (kW),HVAC Heating Gas Power (therms/hour),Hot Water Unmet Demand (kW),Hot Water Outlet Temperature (C),Temperature - Indoor (C),Unmet HVAC Load (C)
2025-01-16 02:00:00,0.453396482207248,0.15855785437429948,0.1672941666666667,0.20148621273462772,0.1951765277777778,0.01673374169484248,0.0,0.04000000000000001,0.1672941666666667,0.0,49.4540894270281,19.479341773834552,-0.19592790988087608
2025-01-16 03:00:00,0.35461610674680644,0.15781455948401216,0.08364708333333334,0.20049515288091133,0.0975882638888889,0.016532689977006222,0.0,0.04000000000000001,0.08364708333333334,0.0,49.14394394125124,19.638106406627358,-0.065134837305318
2025-01-16 04:00:00,0.34788456078197894,0.15707126459372486,0.07872666666666667,0.19950409302719493,0.09184777777777778,0.016532689977006222,0.0,0.04000000000000001,0.07872666666666667,0.0,48.83715447325432,19.64931958795391,-0.0588067612332783
2025-01-16 05:00:00,0.3482866642176514,0.15707126459372486,0.07872666666666667,0.19950409302719493,0.09184777777777778,0.01693479341267874,0.0,0.04000000000000001,0.07872666666666667,0.0,48.53349950994966,19.66664866939183,-0.05456527118273898
2025-01-16 06:00:00,0.3507714132196749,0.15855785437429948,0.07872666666666667,0.20148621273462772,0.09184777777777778,0.01743742270726938,0.0,0.04000000000000001,0.07872666666666667,0.0,48.23313445368118,19.67919658638402,-0.053052209934259346
2025-01-16 07:00:00,1.3150424083293981,0.19741159503063682,0.07380625,0.27642732590878427,0.08610729166666667,0.09587490867987328,0.8166328820740741,0.04000000000000001,0.07380625,0.0,48.510875501372965,19.682500549778624,-0.06013050282010119
2025-01-16 08:00:00,2.0814405821983746,0.21377731458084748,0.07380625,0.3120697518655653,0.08610729166666667,0.12665961481429092,1.516603923851852,0.04000000000000001,0.07380625,0.0,50.98092705720679,19.61842975105368,-0.08557516379529655
2025-01-16 09:00:00,1.2668965731382862,0.2148328838146261,0.06396541666666668,0.32162307708265986,0.07462631944444445,0.13067613483340393,0.6999710417777778,0.04000000000000001,0.06396541666666668,0.0,51.37516748091398,19.498942938596326,-0.09040425751578797
2025-01-16 10:00:00,0.3105596129709674,0.1600444441548741,0.04428375,0.2034683324420605,0.051664375,0.015426905528906808,0.0,0.04000000000000001,0.04428375,0.0,51.43494902673151,19.60887880011165,-0.07426804607822124
2025-01-16 11:00:00,0.30481912685985624,0.1600444441548741,0.039363333333333334,0.2034683324420605,0.04592388888888889,0.015426905528906808,0.0,0.04000000000000001,0.039363333333333334,0.0,51.10370987304621,19.656787377217494,-0.056597104171370205
2025-01-16 12:00:00,0.3470851752039849,0.16153103393544865,0.07380625,0.20545045214949328,0.08610729166666667,0.015527431387824937,0.0,0.04000000000000001,0.07380625,0.0,50.77584709953295,19.691784122391145,-0.036530373333198855
2025-01-16 13:00:00,0.34738675278073927,0.16153103393544865,0.07380625,0.20545045214949328,0.08610729166666667,0.01582900896457932,0.0,0.04000000000000001,0.07380625,0.0,50.451420307790386,19.678611044224727,-0.0679799205817611
2025-01-16 14:00:00,0.3475878044985755,0.16153103393544865,0.07380625,0.20545045214949328,0.08610729166666667,0.01603006068241558,0.0,0.04000000000000001,0.07380625,0.0,50.130497496675765,19.598498185818325,-0.08932228491994773
2025-01-16 15:00:00,0.2896945128283387,0.16078773904516136,0.024602083333333337,0.2044593922957769,0.028702430555555554,0.016532689977006222,0.0,0.04000000000000001,0.024602083333333337,0.0,49.81346647436055,19.487081321464906,-0.09196961012511681
2025-01-16 16:00:00,0.31653436956419545,0.16301762371602324,0.04428375,0.20743257185692607,0.051664375,0.01743742270726938,0.0,0.04000000000000001,0.04428375,0.0,49.499162175435075,19.70346061640289,-0.028530287781902666
2025-01-16 17:00:00,0.2700405442860786,0.1659908032771724,0.0,0.21139681127179163,0.0,0.018643733014286925,0.0,0.04000000000000001,0.0,0.0,49.18564259098988,19.059057908247038,-0.0033611509683203404
2025-01-16 18:00:00,0.27282687086485635,0.167477393057747,0.0,0.21337893097922442,0.0,0.01944793988563195,0.0,0.04000000000000001,0.0,0.0,48.8704063008857,18.69471259212672,0.0
