Time,Total Electric Power (kW),Total Reactive Power (kVAR),Total Gas Power (therms/hour),Other Electric Power (kW),HVAC Heating Electric Power (kW),Lighting Electric Power (kW),Water Heating Electric Power (kW),Other Gas Power (therms/hour),Hot Water Unmet Demand (kW),Hot Water Outlet Temperature (C),Temperature - Indoor (C),Unmet HVAC Load (C)
2025-01-27 08:00:00,0.6758559342489119,0.06389273664242642,0.0032450916303542227,0.1266235977833251,0.47810737856410257,0.07112495790148414,0.0,0.0032450916303542227,0.0,48.78023117641647,20.812835631683395,-0.04531128460169835
2025-01-27 09:00:00,0.5494614815107401,0.07690782212530135,0.0031467555203434877,0.27463754841421156,0.0,0.2748239330965287,0.0,0.0031467555203434877,0.0,48.491349889322834,20.735474081179834,0.0
2025-01-27 10:00:00,0.4398626347161042,0.0762016919795284,0.0032450916303542227,0.1675140283313261,0.0,0.2723486063847781,0.0,0.0032450916303542227,0.0,48.269266665457856,20.953533595614378,0.0
2025-01-27 11:00:00,0.39735265047232693,0.0762016919795284,0.0032450916303542227,0.13401307646574262,0.0,0.26333957400658425,0.0,0.0032450916303542227,0.0,47.95698044263737,21.101685559861696,0.0
2025-01-27 12:00:00,1.1025290389498965,0.07761395227107427,0.0031467555203434877,0.13851114416401467,0.0,0.2557138644155114,0.7083040303703705,0.0031467555203434877,0.0,49.98837783793473,21.259461156143388,0.0
2025-01-27 13:00:00,0.3964586570673988,0.07761395227107427,0.0031467555203434877,0.1435563493100377,0.0,0.2529023077573611,0.0,0.0031467555203434877,0.0,51.40383206141283,21.39262760258579,0.0
2025-01-27 14:00:00,0.40556925448989195,0.07761395227107427,0.0031467555203434877,0.14976380066771,0.0,0.2558054538221819,0.0,0.0031467555203434877,0.0,51.03303844017975,21.5838320441404,0.0
2025-01-27 15:00:00,0.4321458943521669,0.07834417164931233,0.0032450916303542227,0.1560467785176677,0.0,0.27609911583449914,0.0,0.0032450916303542227,0.0,50.6472225300701,21.783205982753127,0.0
2025-01-27 16:00:00,1.1641668587397995,0.08346717078481733,0.00442512495048303,0.16639059735325065,0.0,0.3311371739791413,0.6666390874074075,0.00442512495048303,0.0,50.53405983664352,22.03950974342742,0.0
2025-01-27 17:00:00,0.6066830842681192,0.08969202901658808,0.005605158270611838,0.17690924200572997,0.0,0.42977384226238924,0.0,0.005605158270611838,0.0,51.69388834651828,22.373326238618112,0.0
2025-01-27 18:00:00,0.7205738668129978,0.09309759068839409,0.006490183260708445,0.18868761503765094,0.0,0.5318862517753469,0.0,0.006490183260708445,0.0,51.39318626191257,22.748491196336065,0.0
2025-01-27 19:00:00,0.7681185063094795,0.09136288458533554,0.007473544360815784,0.2038083667416455,0.0,0.5643101395678339,0.0,0.007473544360815784,0.0,51.066561061661545,23.09335644936273,0.0
2025-01-27 20:00:00,1.3031334982336935,0.08879536270946677,0.007965224910869454,0.2182677470879091,0.0,0.5015565496643026,0.5833092014814816,0.007965224910869454,0.0,50.69817099866442,23.37594361849254,0.0
2025-01-27 21:00:00,0.6088296041458214,0.08438110573129814,0.008456905460923123,0.21301602359609903,0.0,0.39581358054972243,0.0,0.008456905460923123,0.0,51.774236387043565,23.486321815562423,0.0
2025-01-27 22:00:00,0.5480813965259127,0.07841063419518687,0.00737520825080505,0.22273042955622493,0.0,0.3253509669696878,0.0,0.00737520825080505,0.0,51.48222242223866,23.461834837830015,0.0
2025-01-27 23:00:00,0.347391491923226,0.0724375506475121,0.00639184715069771,0.1368657979716486,0.0,0.21052569395157741,0.0,0.00639184715069771,0.0,51.192320457679806,23.263823783827608,0.0
2025-01-28 00:00:00,0.22022072022720326,0.06975277574927508,0.004326788840472296,0.11083361447319864,0.0,0.10938710575400465,0.0,0.004326788840472296,0.0,50.90222648945477,22.87752186375253,0.0
2025-01-28 01:00:00,0.16575449694365765,0.0686362600252133,0.002261730530246882,0.09969300034710152,0.0,0.06606149659655615,0.0,0.002261730530246882,0.0,50.674269516740715,22.516076918542314,0.0
2025-01-28 02:00:00,0.1425416590101277,0.06793012987944037,0.001868386090203946,0.09483947839640597,0.0,0.0477021806137217,0.0,0.001868386090203946,0.0,50.341385836509296,22.169348687449503,0.0
