Time,Total Electric Power (kW),Total Reactive Power (kVAR),Total Gas Power (therms/hour),Other Electric Power (kW),HVAC Heating Electric Power (kW),Lighting Electric Power (kW),Water Heating Electric Power (kW),HVAC Heating Gas Power (therms/hour),Water Heating Gas Power (therms/hour),Hot Water Unmet Demand (kW),Hot Water Outlet Temperature (C),Temperature - Indoor (C),Unmet HVAC Load (C)
2025-01-14 09:00:00,0.6899513515256397,0.21420938743396747,0.12265849165019996,0.39071665419150475,0.13803125000000002,0.1542054473341349,0.006998,0.11831250000000001,0.004345991650199949,0.0,51.66666666666668,17.512373668467493,-0.05707960881102624
2025-01-14 10:00:00,0.9522330179757137,0.201283439567121,0.4022625,0.3609233834091347,0.46930625000000004,0.11500538456657895,0.006998,0.4022625,0.0,0.0,51.66666666666668,20.372667813922796,-0.38083755769114486
2025-01-14 11:00:00,0.653501512909559,0.201283439567121,0.15936532969252779,0.36959484853224583,0.1656375,0.11127116437731321,0.006998,0.141975,0.017390329692527764,0.0,51.66666666666668,20.84664273657024,-0.0416278198644467
2025-01-14 12:00:00,0.688945376760007,0.20643725651921085,0.15501933804232781,0.39784625123741546,0.1656375,0.1184636255225915,0.006998,0.141975,0.013044338042327817,0.0,51.66666666666668,20.830483671205283,-0.05384376056745476
2025-01-14 13:00:00,0.8642928959242878,0.2308647188650668,0.13137592731751171,0.5368659108190473,0.13803125000000002,0.1823977351052405,0.006998,0.11831250000000001,0.01306342731751171,0.0,51.66666666666668,20.797683188602484,-0.061754747464729164
2025-01-14 14:00:00,1.2805842217852945,0.21122329876000198,0.0678482333003999,1.0713763746124225,0.06901562500000001,0.13319422217287205,0.006998,0.05915625000000001,0.008691983300399898,0.0,51.66666666666668,20.67093823233766,-0.07308276251493671
2025-01-14 15:00:00,1.0102549337842366,0.20762080980378753,0.12265849165019996,0.7407731061507544,0.13803125000000002,0.12445257763348232,0.006998,0.11831250000000001,0.004345991650199949,0.0,51.66666666666668,20.844347712731313,-0.05865480674404904
2025-01-14 16:00:00,0.7532635335664454,0.21706083603220486,0.12265849165019996,0.4544713014207792,0.13803125000000002,0.15376298214566622,0.006998,0.11831250000000001,0.004345991650199949,0.0,51.66666666666668,20.75325554559346,-0.06881596701373299
2025-01-14 17:00:00,0.7764988999765662,0.22668474961627152,0.1132534177348556,0.4753766192451899,0.09662187500000001,0.19750240573137626,0.006998,0.08281875,0.030434667734855585,0.0,51.66666666666668,20.729639805084386,-0.06760256138911482
2025-01-14 18:00:00,0.8608950757817382,0.23009818757171008,0.11804072519199857,0.5129691421318819,0.11042500000000001,0.23050293364985633,0.006998,0.09465,0.02339072519199856,0.0,51.66666666666668,20.823750011496163,-0.03934971463953509
2025-01-14 19:00:00,0.7469438318210476,0.2076648934385822,0.15992711990088973,0.4452475051905597,0.13803125000000002,0.15666707663048796,0.006998,0.11831250000000001,0.04161461990088972,0.0,51.66666666666668,20.79068155337578,-0.05617272704235005
2025-01-14 20:00:00,0.6000984072540032,0.19051231086558257,0.1294479105239384,0.36976552307904054,0.13803125000000002,0.08530363417496264,0.006998,0.11831250000000001,0.011135410523938377,0.0,51.66666666666668,20.773844293021632,-0.05601211291882944
2025-01-14 21:00:00,0.840324730651307,0.2093482796876225,0.13696908494639276,0.5483949824580335,0.13803125000000002,0.1469004981932736,0.006998,0.11831250000000001,0.01865658494639276,0.0,51.66666666666668,20.813477565795623,-0.056345664591067234
2025-01-14 22:00:00,0.5324008795610928,0.18268835084834148,0.11831250000000001,0.31911591918047383,0.13803125000000002,0.06825571038061902,0.006998,0.11831250000000001,0.0,0.0,51.66666666666668,20.786661764081586,-0.05550644407922884
2025-01-14 23:00:00,0.410767740937073,0.17020266137578435,0.11831250000000001,0.23761175441696772,0.13803125000000002,0.02812673652010526,0.006998,0.11831250000000001,0.0,0.0,51.66666666666668,20.775935383639005,-0.05407810072073378
2025-01-15 00:00:00,0.40755499701367714,0.16945936648549706,0.11831250000000001,0.23545453201221225,0.13803125000000002,0.027071215001464907,0.006998,0.11831250000000001,0.0,0.0,51.66666666666668,20.756103977877515,-0.061665457575382374
2025-01-15 01:00:00,0.2680803207948292,0.16871607159520977,0.0,0.23446347215849583,0.0,0.02661884863633333,0.006998,0.0,0.0,0.0,51.66666666666668,19.68367369067023,-0.0023327117979804394
2025-01-15 02:00:00,0.2670892609411128,0.16797277670492247,0.0,0.23347241230477944,0.0,0.02661884863633333,0.006998,0.0,0.0,0.0,51.66666666666668,18.697441841028997,0.0
2025-01-15 03:00:00,0.265796623510642,0.16722948181463515,0.0,0.23248135245106305,0.0,0.026317271059578946,0.006998,0.0,0.0,0.0,51.66666666666668,18.08382442000133,0.0
2025-01-15 04:00:00,0.2648055636569256,0.16648618692434786,0.0,0.23149029259734666,0.0,0.026317271059578946,0.006998,0.0,0.0,0.0,51.66666666666668,17.63326777592056,0.0
2025-01-15 05:00:00,0.2654087188104344,0.16648618692434786,0.0,0.23149029259734666,0.0,0.02692042621308772,0.006998,0.0,0.0,0.0,51.66666666666668,17.267308030372174,-0.04920644396978844
2025-01-15 06:00:00,0.3721743601868974,0.17480997990605263,0.10208730800942574,0.24867365962773383,0.06901562500000001,0.04748707555916356,0.006998,0.05915625000000001,0.04293105800942574,0.0,51.66666666666668,17.45848529079393,-0.09561786300897163
2025-01-15 07:00:00,0.5735004126060097,0.22869440876437921,0.06753679645013963,0.36816777054347133,0.0,0.19833464206253856,0.006998,0.0,0.06753679645013963,0.0,51.66666666666668,17.233210483570144,-0.07219855092685196
2025-01-15 08:00:00,0.5693278815237272,0.21420938743396747,0.09418901247059966,0.3416182206323721,0.06901562500000001,0.1516960358913551,0.006998,0.05915625000000001,0.035032762470599645,0.0,51.66666666666668,17.44169177355103,-0.10841233343797126
2025-01-15 09:00:00,0.42376811143000764,0.1982973508931555,0.017427206930829206,0.3091890704589906,0.0,0.1075810409710171,0.006998,0.0,0.017427206930829206,0.0,51.66666666666668,17.202509225603638,-0.1075508948490753
2025-01-15 10:00:00,1.1286886027842926,0.19699464846823028,0.38599909045036696,0.6184507898287713,0.40029062500000007,0.10294918795552103,0.006998,0.34310625,0.042892840450366905,0.0,51.66666666666668,20.25183715011464,-0.5047238574730845
2025-01-15 11:00:00,1.2119095293340476,0.201283439567121,0.13449418213953082,0.9418059899567343,0.15183437500000002,0.11127116437731321,0.006998,0.13014375,0.004350432139530828,0.0,51.66666666666668,20.814972178554672,-0.05246460035824671
2025-01-15 12:00:00,0.47632285010154557,0.18312860924263083,0.12266293213953082,0.2743272464958902,0.13803125000000002,0.05696635360565532,0.006998,0.11831250000000001,0.004350432139530828,0.0,51.66666666666668,20.778580614454068,-0.05475848438802539
