Time,Total Electric Power (kW),Total Reactive Power (kVAR),Total Gas Power (therms/hour),Other Electric Power (kW),HVAC Heating Electric Power (kW),Lighting Electric Power (kW),HVAC Cooling Electric Power (kW),Water Heating Gas Power (therms/hour),Hot Water Unmet Demand (kW),Hot Water Outlet Temperature (C),Temperature - Indoor (C),Unmet HVAC Load (C)
2025-01-04 01:00:00,0.8947199544133334,0.5591880963259156,0.0,0.10627791278158097,0.7239518854305229,0.014490156201229653,0.05,0.0,0.0,50.864784843518756,17.78080932378216,-0.12416750221661281
2025-01-04 02:00:00,0.33553440517094413,0.19788130209116275,0.0,0.10523421002570411,0.1658100389440104,0.014490156201229653,0.05,0.0,0.0,49.78248155222824,18.072060930756916,-0.014214084734564914
2025-01-04 03:00:00,1.0583378329114357,0.6647677822885109,0.0,0.10419050726982727,0.8898277752517824,0.014319550389826146,0.05,0.0,0.0,48.72978259317534,17.919123904565424,-0.11236441295487141
2025-01-04 04:00:00,0.17303899843515663,0.09249841163424816,0.03871440426507711,0.10834011710539261,0.0,0.014698881329764012,0.05,0.03871440426507711,0.0,51.14325612590849,17.92598525201434,-0.04465426162573684
2025-01-04 05:00:00,0.5655219043726304,0.13555893819401915,0.023228642559046265,0.4282036420940626,0.06586402797795644,0.02145423430061132,0.05,0.023228642559046265,0.0,51.1407159847294,17.580043157962923,-0.25329017537044685
2025-01-04 06:00:00,1.2177352998224755,0.5462017301096349,0.030971523412061684,0.4336029316810416,0.6977335897019648,0.036398778439469356,0.05,0.030971523412061684,0.0,50.69178481125606,18.192817197656026,-0.007370040256135369
2025-01-04 07:00:00,0.5174517399634647,0.09622873802106233,0.0,0.43428029593728057,0.0,0.03317144402618413,0.05,0.0,0.0,51.97370011271299,17.87271747049129,-0.01558806251683696
2025-01-04 08:00:00,0.4902018837024974,0.09312692866015895,0.0,0.4262235449354783,0.0,0.013978338767019127,0.05,0.0,0.0,50.84585566624414,17.65131041251961,-0.18202292081376126
2025-01-04 09:00:00,1.052834075331282,0.45688202365876085,0.0,0.4262235449354783,0.5631440090629951,0.0134665213328086,0.05,0.0,0.0,49.75285746195521,17.92872297559229,-0.13157450493113493
2025-01-04 10:00:00,0.25016739062510057,0.09234415159325132,0.0,0.18678617219799373,0.0,0.013381218427106847,0.05,0.0,0.0,48.706073361747,17.826054989573443,-0.08318738630921078
2025-01-04 11:00:00,0.7722219053335806,0.4808870880854176,0.0,0.10732161553745782,0.601519071369016,0.013381218427106847,0.05,0.0,0.0,47.69584445367274,18.084999351845504,-0.04026740743361768
2025-01-04 12:00:00,0.21292800209080692,0.11978103890619243,0.0,0.1094090210492115,0.04005245970878679,0.0134665213328086,0.05,0.0,0.0,46.71784833179148,17.706945819252905,-0.13321030040118345
2025-01-04 13:00:00,0.7388498673268759,0.45932770347826785,0.03871440426507711,0.1094090210492115,0.5657184162277507,0.013722430049913864,0.05,0.03871440426507711,0.0,50.96433297738988,18.155749873092415,-0.006759441464660417
2025-01-04 14:00:00,0.17330205691052888,0.09390970572706658,0.0,0.1094090210492115,0.0,0.013893035861317373,0.05,0.0,0.0,51.57704304532327,17.76245470852477,-0.08116593463846188
