Time,Total Electric Power (kW),Total Reactive Power (kVAR),Total Gas Power (therms/hour),Other Electric Power (kW),HVAC Heating Electric Power (kW),Lighting Electric Power (kW),Water Heating Gas Power (therms/hour),Hot Water Unmet Demand (kW),Hot Water Outlet Temperature (C),Temperature - Indoor (C),Unmet HVAC Load (C)
2025-01-10 12:00:00,0.9395395189347585,0.18412945972786682,0.0,0.3148473268190191,0.5857905368888888,0.038901655226850546,0.0,0.0,51.11652228565857,21.069864383879644,0.0
2025-01-10 13:00:00,0.9352035571478141,0.1683246255233045,0.0,0.24252931249133738,0.6782837795555555,0.014390465100921233,0.0,0.0,50.32871616863702,20.644987646946063,-0.06950367591448489
2025-01-10 14:00:00,1.1819948107099487,0.1683246255233045,0.030441204886400744,0.24252931249133738,0.9249324266666666,0.014533071551944625,0.030441204886400744,0.0,51.73599524642881,21.170188987825803,0.0
2025-01-10 15:00:00,0.5802247998040074,0.1676342882481797,0.0,0.24160886279117097,0.32372634933333333,0.014889587679503104,0.0,0.0,52.2187731166167,20.680728565009925,-0.07413011390633747
2025-01-10 16:00:00,1.1848339552674452,0.16970530007355406,0.0,0.24437021189167016,0.9249324266666666,0.015531316709108367,0.0,0.0,51.64437322639698,21.02444484024721,0.0
2025-01-10 17:00:00,1.189371392774251,0.17246664917405324,0.0,0.24805201069233573,0.9249324266666666,0.01638695541524872,0.0,0.0,51.05823145073585,21.24185094201703,0.0
2025-01-10 18:00:00,0.8526408282008996,0.17384732372430284,0.0,0.2498929100926685,0.5857905368888888,0.016957381219342284,0.0,0.0,50.51656396167084,21.156388010417718,0.0
2025-01-10 19:00:00,0.8356696012581691,0.17246664917405324,0.0,0.24805201069233573,0.5703749964444444,0.01724259412138907,0.0,0.0,49.94587658873839,20.610714748926338,-0.08090184278631542
2025-01-10 20:00:00,1.1894491882312486,0.17177631189892845,0.0,0.24713156099216935,0.9249324266666666,0.01738520057241246,0.0,0.0,49.41594105758483,21.16175177679617,0.0
2025-01-10 21:00:00,0.7290619910220598,0.1942044183818497,0.030441204886400744,0.5909356249405299,0.07707770222222222,0.061048663859307635,0.030441204886400744,0.0,49.036391070103484,20.80168325799265,-0.02744075785233644
2025-01-10 22:00:00,0.8769885935237318,0.2099921323596933,0.0,0.7756224631137905,0.0,0.10136613040994144,0.0,0.0,51.44388930210121,21.10742539127092,0.0
2025-01-10 23:00:00,0.93563786873237,0.1676342882481797,0.0,0.24160886279117097,0.6782837795555555,0.015745226385643456,0.0,0.0,50.73677587146774,20.656869194192076,-0.07094887053078747
2025-01-11 00:00:00,0.872556134675844,0.1669439509730549,0.0,0.2406884130910046,0.6166216177777778,0.015246103807061583,0.0,0.0,50.139831620515785,21.11837925991122,0.0
2025-01-11 01:00:00,0.8251751539658091,0.1662536136979301,0.0,0.23976796339083822,0.5703749964444444,0.015032194130526495,0.0,0.0,49.55242119153254,20.660355738443734,-0.07661110697614339
2025-01-11 02:00:00,0.485112814487865,0.1655632764228053,0.030441204886400744,0.23884751369067184,0.23123310666666666,0.015032194130526495,0.030441204886400744,0.0,50.91707643928501,20.891944970031847,-0.027745304401267806
2025-01-11 03:00:00,1.0544247547811196,0.1648729391476805,0.0,0.23792706399050545,0.8016081031111111,0.014889587679503104,0.0,0.0,52.01268111929976,20.802168272897145,-0.06262788827478054
2025-01-11 04:00:00,0.49854484908095326,0.16418260187255573,0.0,0.23700661429033903,0.2466486471111111,0.014889587679503104,0.0,0.0,51.437486101027936,20.742890607052182,-0.07669459043255208
2025-01-11 05:00:00,1.1771138415385556,0.16418260187255573,0.0,0.23700661429033903,0.9249324266666666,0.015174800581549887,0.0,0.0,50.85552268559435,20.998957524182963,-0.0008711863731258873
2025-01-11 06:00:00,0.5318585583997801,0.1655632764228053,0.0,0.23884751369067184,0.27747972800000004,0.015531316709108367,0.0,0.0,50.30415947899063,20.70771709800372,-0.07527411935592104
