occupants,plug_loads_other,plug_loads_tv,lighting_interior,lighting_garage,hot_water_dishwasher,dishwasher,hot_water_clothes_washer,clothes_washer,clothes_dryer,cooking_range,hot_water_fixtures,Vacancy,Power Outage,No Space Heating,No Space Cooling
1.0,0.562,0.016,0.0493,0.0493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.562,0.016,0.0493,0.0493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.562,0.016,0.0493,0.0493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.562,0.016,0.0493,0.0493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.562,0.016,0.0493,0.0493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.562,0.016,0.0493,0.0493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.562,0.016,0.0493,0.0493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.562,0.016,0.0493,0.0493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.562,0.016,0.0493,0.0493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.562,0.016,0.0493,0.0493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.562,0.016,0.0493,0.0493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.562,0.016,0.0493,0.0493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.562,0.016,0.0493,0.0493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.596,0.0235,0.0741,0.0741,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.608,0.0262,0.0831,0.0831,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.608,0.0262,0.0831,0.0831,0.0,0.0,0.0,0.0,0.0,0.0,0.225,0,0,0,0
1.0,0.608,0.0262,0.0831,0.0831,0.0,0.0,0.0,0.0,0.0,0.0,0.163,0,0,0,0
1.0,0.661,0.0477,0.207,0.207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.68,0.0555,0.252,0.252,0.0,0.0,0.0,0.0,0.0,0.0,0.771,0,0,0,0
1.0,0.724,0.07,0.326,0.326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1.0,0.74,0.0753,0.353,0.353,0.0,0.0,0.0,0.0,0.0,0.0,0.0815,0,0,0,0
0.756,0.725,0.0747,0.325,0.325,0.0,0.0,0.0,0.0,0.0,0.0,0.524,0,0,0,0
0.422,0.661,0.0531,0.217,0.217,0.0,0.0,0.0,0.0,0.0,0.0,0.163,0,0,0,0
0.333,0.64,0.0453,0.182,0.182,0.0,0.0,0.0,0.0,0.0,0.0,0.326,0,0,0,0
0.333,0.64,0.0453,0.182,0.182,0.0,0.0,0.0,0.0,0.0,0.0,0.294,0,0,0,0
0.333,0.645,0.051,0.189,0.189,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
0.333,0.647,0.053,0.191,0.191,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
0.333,0.647,0.053,0.191,0.191,0.0,0.0,0.0,0.0,0.0,0.0,0.283,0,0,0,0
0.333,0.647,0.053,0.191,0.191,0.0,0.0,0.0,0.0,0.0,0.0,0.163,0,0,0,0
0.333,0.647,0.0588,0.195,0.195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
0.333,0.647,0.0608,0.196,0.196,0.0,0.0,0.0,0.0,0.0,0.0,0.39,0,0,0,0
0.333,0.647,0.0608,0.196,0.196,0.0,0.0,0.0,0.0,0.0,0.0,0.36,0,0,0,0
0.333,0.647,0.0608,0.196,0.196,0.0,0.0,0.0,0.0,0.0,0.0,0.0815,0,0,0,0
0.333,0.647,0.0653,0.192,0.192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
0.333,0.647,0.0669,0.191,0.191,0.0,0.0,0.0,0.0,0.0,0.0,0.196,0,0,0,0
0.0889,0.584,0.0296,0.0872,0.0872,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
0.0,0.562,0.016,0.0493,0.0493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
0.244,0.624,0.0578,0.149,0.149,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
0.333,0.647,0.0729,0.185,0.185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
