occupants,plug_loads_other,plug_loads_tv,ceiling_fan,lighting_interior,cooking_range,hot_water_fixtures,Vacancy,Power Outage,No Space Heating,No Space Cooling
1.0,0.818,0.168,0.0,0.475,0.0,0.343,0,0,0,0
1.0,0.818,0.168,0.0,0.475,0.0,0.0491,0,0,0,0
1.0,0.818,0.168,0.0,0.475,0.0,0.0,0,0,0,0
1.0,0.818,0.184,0.0,0.458,0.0,0.167,0,0,0,0
1.0,0.818,0.186,0.0,0.457,0.0,0.188,0,0,0,0
1.0,0.818,0.186,0.0,0.457,0.0,0.0835,0,0,0,0
1.0,0.818,0.186,0.0,0.457,0.0,0.236,0,0,0,0
1.0,0.818,0.195,0.0,0.444,0.0,0.363,0,0,0,0
1.0,0.818,0.196,0.0,0.444,0.0,0.0,0,0,0,0
1.0,0.818,0.196,0.0,0.444,0.0,0.0835,0,0,0,0
1.0,0.818,0.196,0.0,0.444,0.0,0.341,0,0,0,0
1.0,0.818,0.22,0.0,0.44,0.0,0.0,0,0,0,0
1.0,0.818,0.222,0.0,0.44,0.0,0.0835,0,0,0,0
1.0,0.818,0.222,0.0,0.44,0.0,0.667,0,0,0,0
1.0,0.818,0.222,0.0,0.44,0.0,0.0835,0,0,0,0
1.0,0.818,0.234,0.0,0.447,0.0,0.177,0,0,0,0
1.0,0.818,0.235,0.0,0.448,0.0,0.0,0,0,0,0
1.0,0.818,0.235,0.0,0.448,0.0,0.25,0,0,0,0
1.0,0.818,0.235,0.0,0.448,0.0,0.351,0,0,0,0
1.0,0.854,0.261,0.0,0.492,0.0,0.025,0,0,0,0
1.0,0.857,0.263,0.0,0.496,0.0,0.0,0,0,0,0
1.0,0.857,0.263,0.0,0.496,0.0,0.172,0,0,0,0
1.0,0.857,0.263,0.0,0.496,0.0,0.0,0,0,0,0
1.0,0.911,0.323,0.0,0.608,0.0,0.0,0,0,0,0
1.0,0.915,0.327,0.0,0.616,0.0,0.134,0,0,0,0
1.0,0.915,0.327,0.0,0.616,0.0,0.167,0,0,0,0
1.0,0.915,0.327,0.0,0.616,0.0,0.0,0,0,0,0
1.0,0.969,0.397,0.0,0.804,0.0,0.225,0,0,0,0
1.0,0.973,0.402,0.0,0.817,0.0,0.0,0,0,0,0
1.0,0.973,0.402,0.0,0.817,0.0,0.159,0,0,0,0
0.533,0.781,0.222,0.196,0.459,0.0,0.0,0,0,0,0
0.967,0.978,0.519,0.014,0.949,0.0,0.187,0,0,0,0
1.0,0.993,0.541,0.0,0.986,0.933,0.0596,0,0,0,0
1.0,0.993,0.541,0.0,0.986,1.0,0.0,0,0,0,0
1.0,0.993,0.541,0.0,0.986,1.0,0.0,0,0,0,0
1.0,0.975,0.743,0.0,0.978,0.133,0.0,0,0,0,0
1.0,0.973,0.758,0.0,0.977,0.0,0.0,0,0,0,0
1.0,0.973,0.758,0.0,0.977,0.0,0.0,0,0,0,0
1.0,0.973,0.758,0.0,0.977,0.0,0.0,0,0,0,0
1.0,0.937,0.924,0.0,0.81,0.0,0.0,0,0,0,0
0.533,0.76,0.506,0.196,0.449,0.0,0.0,0,0,0,0
0.5,0.748,0.476,0.211,0.424,0.0,0.0,0,0,0,0
0.5,0.748,0.476,0.211,0.424,0.0,0.0,0,0,0,0
0.5,0.712,0.453,0.211,0.332,0.0,0.0835,0,0,0,0
0.5,0.709,0.451,0.211,0.326,0.0,0.0,0,0,0,0
0.5,0.709,0.451,0.211,0.326,0.0,0.0,0,0,0,0
0.5,0.709,0.451,0.211,0.326,0.0,0.0,0,0,0,0
0.5,0.673,0.288,0.211,0.289,0.0,0.0,0,0,0,0
0.5,0.67,0.276,0.211,0.286,0.0,0.0,0,0,0,0
0.967,0.771,0.519,0.014,0.507,0.0,0.0,0,0,0,0
